verification_id,date,campaign_key,placement_key,segment_key,measured_impressions,risky_impressions,blocked_impressions
99,2025-01-02,105,305,905,76838,1820,607
100,2025-01-02,106,305,904,34404,694,393
101,2025-01-02,102,305,901,35145,1664,792
102,2025-01-02,102,305,901,36736,1390,529
103,2025-01-02,105,305,905,87437,1628,963
104,2025-01-02,104,306,905,67019,1693,1065
105,2025-01-02,104,306,901,76275,2795,1884
106,2025-01-02,105,303,904,23351,278,134
107,2025-01-02,105,303,904,21111,667,305
108,2025-01-02,105,303,904,23996,1160,803
109,2025-01-02,105,303,903,29252,381,259
110,2025-01-02,101,302,902,15280,760,305
111,2025-01-02,101,302,902,15689,553,298
112,2025-01-02,101,305,903,31412,1186,787
113,2025-01-02,103,302,901,52579,1915,906
114,2025-01-02,101,304,903,83158,1817,612
115,2025-01-02,101,304,901,84910,1525,541
116,2025-01-02,101,304,904,79241,3739,1866
117,2025-01-02,101,305,901,46460,570,296
118,2025-01-02,101,305,903,39876,746,275
119,2025-01-02,101,305,903,43978,1231,547
120,2025-01-02,104,302,905,37040,986,674
121,2025-01-02,104,302,905,31441,694,394
122,2025-01-02,106,303,904,59335,1209,533
123,2025-01-02,106,303,902,64109,1259,605
124,2025-01-02,106,303,903,66213,1210,737
125,2025-01-02,105,303,904,22452,867,382
126,2025-01-02,105,303,902,24717,972,389
127,2025-01-02,105,303,905,22484,993,390
128,2025-01-02,105,306,902,50935,2433,1161
129,2025-01-02,105,306,903,48775,880,576
130,2025-01-02,105,306,901,52387,1628,889
131,2025-01-02,103,303,903,64297,2933,2043
132,2025-01-02,102,304,902,80819,2394,1373
133,2025-01-03,102,301,901,23920,694,339
134,2025-01-03,106,305,901,17839,408,143
135,2025-01-03,102,306,903,57380,895,595
136,2025-01-03,102,306,903,59094,592,413
137,2025-01-03,105,305,901,53930,2072,829
138,2025-01-03,105,305,902,59953,1115,773
139,2025-01-03,105,305,904,56950,1245,419
140,2025-01-03,105,305,903,75271,1941,827
141,2025-01-03,105,305,905,74713,1770,781
142,2025-01-03,105,305,901,90702,1127,777
143,2025-01-03,106,305,904,64432,2331,735
144,2025-01-03,106,305,905,67382,854,354
145,2025-01-03,104,305,902,51035,693,458
146,2025-01-03,104,305,905,53982,1585,577
147,2025-01-03,104,305,905,53476,1606,1090
148,2025-01-03,106,306,904,66492,2807,1313
149,2025-01-03,102,306,901,54752,1634,843
150,2025-01-03,102,306,902,52565,1809,897
151,2025-01-03,105,303,904,58949,2791,1238
152,2025-01-03,105,303,905,56640,1861,1020
153,2025-01-03,106,305,905,77340,2927,2009
154,2025-01-03,102,304,905,21800,352,221
155,2025-01-03,102,304,905,23979,974,596
156,2025-01-03,102,304,905,20460,442,178
157,2025-01-03,104,305,905,24381,383,249
158,2025-01-03,104,305,904,21421,696,425
159,2025-01-03,104,306,903,23637,960,343
160,2025-01-03,104,306,902,27474,1131,695
161,2025-01-03,104,301,904,78390,1744,649
162,2025-01-03,104,301,901,80256,3376,1478
163,2025-01-03,104,301,903,66581,2569,1671
164,2025-01-03,103,306,903,32666,639,364
165,2025-01-03,106,304,905,11707,513,330
166,2025-01-03,106,304,901,11540,304,149
167,2025-01-03,106,304,903,11769,309,185
168,2025-01-03,106,305,902,45951,2272,1565
169,2025-01-03,106,305,905,47671,1089,562
170,2025-01-03,103,302,902,17365,769,430
171,2025-01-03,103,302,901,15895,562,255
172,2025-01-03,105,304,901,88158,1777,1187
173,2025-01-03,105,304,905,80633,1943,1039
174,2025-01-03,106,305,904,82182,833,420
175,2025-01-03,106,305,902,72334,3407,1658
176,2025-01-03,106,305,905,83275,3603,1682
177,2025-01-03,102,304,901,58622,2046,1030
178,2025-01-03,102,304,905,58919,2085,740
179,2025-01-03,102,304,904,60452,2304,1560
180,2025-01-03,106,306,901,54280,1080,397
181,2025-01-03,106,306,901,54001,2136,1311
182,2025-01-03,106,306,901,49113,611,383
183,2025-01-03,106,306,901,27510,709,421
184,2025-01-03,104,302,905,82120,1515,912
185,2025-01-03,104,302,902,80986,2727,1442
186,2025-01-03,104,302,901,76140,2473,1037
187,2025-01-03,106,303,902,64637,1542,570
188,2025-01-03,106,303,902,57663,2504,1566
189,2025-01-03,101,306,902,14572,666,348
190,2025-01-03,106,304,902,51351,547,242
191,2025-01-03,106,304,903,47169,1003,335
192,2025-01-03,106,304,905,52435,813,287
193,2025-01-03,104,303,905,75108,1282,498
194,2025-01-03,104,303,903,74905,2984,1689
195,2025-01-03,104,303,902,77558,3829,2407
196,2025-01-03,104,304,901,64019,900,308
197,2025-01-03,106,306,904,54163,1316,679
198,2025-01-03,106,305,904,67755,1970,722
199,2025-01-03,106,305,902,62442,2026,759
200,2025-01-03,102,305,904,40882,1616,1097
201,2025-01-03,102,305,904,38859,1569,1028
202,2025-01-03,106,301,901,12101,204,114
203,2025-01-03,106,301,903,13256,161,87
204,2025-01-03,106,301,901,12846,131,48
205,2025-01-03,103,301,904,87041,890,317
206,2025-01-04,102,305,902,60489,636,382
207,2025-01-04,102,305,902,60135,1597,694
208,2025-01-04,102,305,903,59818,814,420
209,2025-01-04,103,302,902,30781,905,383
210,2025-01-04,106,305,903,18653,278,187
211,2025-01-04,106,305,905,18342,480,328
212,2025-01-04,106,305,901,10625,409,171
213,2025-01-04,106,305,901,12596,399,266
214,2025-01-04,105,306,902,53184,1449,807
215,2025-01-04,101,303,902,33712,716,424
216,2025-01-04,101,303,904,33084,1541,624
217,2025-01-04,103,302,901,53033,2358,1361
218,2025-01-04,103,302,903,52133,2007,988
219,2025-01-04,106,301,901,83088,2256,1031
220,2025-01-04,101,304,903,25509,269,143
221,2025-01-04,101,304,905,24765,908,285
222,2025-01-04,101,304,903,27169,569,350
223,2025-01-04,104,304,905,51282,2235,1246
224,2025-01-04,101,304,905,57491,923,459
225,2025-01-04,101,304,905,62299,902,605
226,2025-01-04,101,304,901,59342,2210,834
227,2025-01-04,106,301,901,75832,789,314
228,2025-01-04,106,301,904,87737,1474,736
229,2025-01-04,101,302,904,70129,3259,1743
230,2025-01-04,101,302,903,68860,3269,1545
231,2025-01-04,105,305,901,32028,1403,522
232,2025-01-04,105,305,903,30291,897,462
233,2025-01-04,105,303,902,54152,1096,426
234,2025-01-04,105,303,902,57616,1785,621
235,2025-01-04,105,303,905,54232,1979,1248
236,2025-01-04,104,302,902,58118,1689,841
237,2025-01-04,105,304,903,51522,1590,556
238,2025-01-04,102,303,905,30869,1464,916
239,2025-01-04,104,302,902,92069,4292,1468
240,2025-01-04,104,302,904,85628,1557,925
241,2025-01-04,104,306,901,62707,2981,1051
242,2025-01-04,104,306,901,54787,2093,872
243,2025-01-04,104,306,902,66669,1349,812
244,2025-01-04,104,303,902,64562,2125,1123
245,2025-01-04,106,301,903,46398,1296,572
246,2025-01-04,101,302,902,19874,591,309
247,2025-01-04,101,302,903,18590,888,609
248,2025-01-04,101,302,903,18362,366,112
249,2025-01-04,104,306,902,27770,903,339
250,2025-01-04,104,306,903,33699,1013,387
251,2025-01-04,101,305,902,45887,2271,1188
252,2025-01-04,101,305,902,40858,1546,953
253,2025-01-04,103,304,903,48503,1228,668
254,2025-01-04,105,305,902,8822,435,266
255,2025-01-04,105,305,905,10079,498,150
256,2025-01-04,104,302,904,76035,3414,1075
257,2025-01-04,104,302,903,68888,2010,1368
258,2025-01-04,101,306,901,59607,2561,841
259,2025-01-04,101,306,903,70429,2457,1299
260,2025-01-05,102,301,902,21774,288,135
261,2025-01-05,102,301,903,18262,481,303
262,2025-01-05,102,301,902,19004,322,121
263,2025-01-05,104,304,901,35012,894,427
264,2025-01-05,105,302,904,61428,893,304
265,2025-01-05,105,302,901,68710,1118,530
266,2025-01-05,105,302,904,68413,1922,948
267,2025-01-05,106,301,904,23065,557,198
268,2025-01-05,106,301,901,25837,683,283
269,2025-01-05,106,301,902,65864,2845,1408
270,2025-01-05,106,301,901,56989,745,453
271,2025-01-05,106,301,904,57568,2161,1296
272,2025-01-05,105,305,904,36195,1268,708
273,2025-01-05,105,305,901,36473,958,562
274,2025-01-05,105,305,902,38630,784,284
275,2025-01-05,102,302,903,66297,1951,613
276,2025-01-05,102,302,905,64377,1664,858
277,2025-01-05,102,303,902,27752,797,308
278,2025-01-05,105,302,904,42148,1438,769
279,2025-01-05,103,305,901,47842,825,438
280,2025-01-05,103,305,904,50335,877,315
281,2025-01-05,103,305,902,48692,2225,1222
282,2025-01-05,101,305,902,28450,936,477
283,2025-01-05,106,304,902,47504,1894,1115
284,2025-01-05,106,304,904,47103,1030,412
285,2025-01-05,106,304,901,46895,1456,931
286,2025-01-05,106,304,905,43256,1054,636
287,2025-01-05,106,304,903,46392,672,249
288,2025-01-05,106,304,904,45807,1543,727
289,2025-01-05,103,305,902,21961,684,231
290,2025-01-05,105,303,901,75806,1236,755
291,2025-01-05,105,303,901,79907,1073,551
292,2025-01-05,106,303,905,33707,1477,790
293,2025-01-05,106,303,901,34480,535,352
294,2025-01-05,106,303,905,36015,1395,551
295,2025-01-05,103,305,902,47747,1672,1143
296,2025-01-05,103,305,903,47864,880,296
297,2025-01-05,103,305,902,52045,2563,1565
298,2025-01-05,101,302,901,21326,364,211
299,2025-01-05,101,302,901,20052,420,277
300,2025-01-05,104,302,901,46594,2079,1299
301,2025-01-05,104,302,904,49565,1121,596
302,2025-01-05,104,302,902,47523,2001,1198
303,2025-01-05,104,304,903,15313,716,371
304,2025-01-05,104,304,905,17142,349,151
305,2025-01-05,106,305,905,12111,242,129
306,2025-01-05,102,302,902,77677,3223,2035
307,2025-01-05,102,302,904,81673,4072,2352
308,2025-01-05,105,302,902,30546,521,364
309,2025-01-05,105,302,905,36851,1211,708
310,2025-01-05,104,301,901,19434,963,658
311,2025-01-05,104,301,903,23303,1068,606
312,2025-01-05,106,301,902,91209,2670,1439
313,2025-01-05,106,301,903,76536,2805,1740
314,2025-01-05,106,301,905,88178,3198,1212
315,2025-01-05,106,303,904,44021,1492,608
316,2025-01-05,104,301,904,62550,1699,1161
317,2025-01-05,104,301,902,64395,1874,1170
318,2025-01-05,101,301,905,32747,1474,541
319,2025-01-06,106,302,902,67338,1180,601
320,2025-01-06,106,302,901,70908,1147,487
321,2025-01-06,101,301,903,79094,3132,1044
322,2025-01-06,101,301,903,88603,1021,673
323,2025-01-06,106,306,904,14062,382,219
324,2025-01-06,106,306,903,14805,386,118
325,2025-01-06,103,301,903,34137,962,392
326,2025-01-06,103,301,901,31139,829,457
327,2025-01-06,103,301,904,31652,1024,483
328,2025-01-06,105,301,904,57663,2498,1267
329,2025-01-06,101,301,901,17585,731,270
330,2025-01-06,101,301,903,17396,210,106
331,2025-01-06,101,301,905,15928,369,194
332,2025-01-06,102,304,904,68539,3420,1817
333,2025-01-06,105,306,901,45229,913,333
334,2025-01-06,105,306,903,41809,472,184
335,2025-01-06,105,306,904,38482,731,492
336,2025-01-06,105,301,905,81005,4028,2061
337,2025-01-06,105,301,902,86195,2353,722
338,2025-01-06,105,301,902,76082,2792,1279
339,2025-01-06,105,301,904,40699,1969,1075
340,2025-01-06,106,305,904,30080,724,331
341,2025-01-06,105,303,902,12919,148,68
342,2025-01-06,105,303,901,14495,624,388
343,2025-01-06,103,303,904,47167,1944,924
344,2025-01-06,104,303,905,29524,528,176
345,2025-01-06,104,303,902,35827,846,491
346,2025-01-06,104,303,905,35002,1648,642
347,2025-01-06,102,306,901,25094,317,185
348,2025-01-06,102,306,905,25798,892,496
349,2025-01-06,102,306,901,24709,849,385
350,2025-01-06,102,303,902,80085,2294,846
351,2025-01-06,102,303,904,76430,3048,1744
352,2025-01-06,102,303,902,72851,855,399
353,2025-01-06,103,302,901,43628,792,507
354,2025-01-06,103,302,904,49112,978,491
355,2025-01-06,103,302,904,49373,1415,932
356,2025-01-06,102,305,903,18731,443,209
357,2025-01-06,101,302,903,48064,1026,537
358,2025-01-06,101,302,905,46879,493,284
359,2025-01-06,105,304,905,20132,557,323
360,2025-01-06,105,304,903,22047,817,266
361,2025-01-06,102,301,905,81332,1540,704
362,2025-01-06,102,301,905,71619,1575,732
363,2025-01-06,105,304,905,66982,2223,1088
364,2025-01-06,105,304,901,56824,2457,1157
365,2025-01-06,105,304,902,58003,1194,591
366,2025-01-06,101,306,905,39905,1456,654
367,2025-01-06,101,306,901,46596,1433,929
368,2025-01-06,102,302,903,54321,2495,1485
369,2025-01-06,102,302,904,62431,1009,310
370,2025-01-06,105,301,904,11605,463,194
371,2025-01-06,105,301,903,9983,151,95
372,2025-01-06,105,301,901,9500,252,87
373,2025-01-06,102,302,901,61858,1302,436
374,2025-01-06,102,302,905,61499,2438,1131
375,2025-01-06,103,301,901,31375,1244,426
376,2025-01-06,105,302,905,90963,4108,2036
377,2025-01-06,106,306,903,77385,2317,1121
378,2025-01-06,102,301,902,38988,1816,1100
379,2025-01-06,102,301,904,43784,1787,746
380,2025-01-06,102,301,904,39858,1477,967
381,2025-01-07,106,305,903,39478,430,155
382,2025-01-07,102,305,901,10662,134,84
383,2025-01-07,102,305,902,9613,108,65
384,2025-01-07,102,305,903,9200,457,315
385,2025-01-07,101,302,905,39870,460,190
386,2025-01-07,101,302,902,45240,542,344
387,2025-01-07,101,302,904,37990,1633,697
388,2025-01-07,104,303,902,19857,923,530
389,2025-01-07,104,303,905,22127,940,530
390,2025-01-07,104,303,903,23155,707,436
391,2025-01-07,104,302,904,66981,1254,431
392,2025-01-07,104,302,903,61639,795,322
393,2025-01-07,104,302,905,69363,849,555
394,2025-01-07,104,302,905,55339,2430,1123
395,2025-01-07,103,304,901,89063,2239,829
396,2025-01-07,103,304,904,86343,1691,966
397,2025-01-07,103,304,905,78415,3828,2409
398,2025-01-07,105,306,904,83542,2423,954
399,2025-01-07,102,306,903,9597,105,34
400,2025-01-07,102,306,901,8818,294,152
401,2025-01-07,103,304,901,30409,423,226
402,2025-01-07,103,304,905,28159,450,195
403,2025-01-07,106,304,905,54516,2035,663
404,2025-01-07,106,304,905,58626,864,516
405,2025-01-07,106,304,901,51375,2089,1267
406,2025-01-07,103,301,904,77434,826,496
407,2025-01-07,103,301,905,82776,1329,864
408,2025-01-07,103,301,905,74069,1603,644
409,2025-01-07,103,303,901,44163,1513,563
410,2025-01-07,103,303,905,40962,764,394
411,2025-01-07,103,303,902,36240,1163,631
412,2025-01-07,105,304,904,31246,1289,454
413,2025-01-07,104,305,904,74920,1008,559
414,2025-01-07,104,305,902,83796,3680,1192
415,2025-01-07,104,305,905,88375,1813,603
416,2025-01-07,102,303,905,45699,1017,517
417,2025-01-07,102,303,902,45046,1392,561
418,2025-01-07,103,306,905,36218,1039,716
419,2025-01-07,103,306,902,33192,1618,651
420,2025-01-07,104,302,904,46080,1872,1216
421,2025-01-07,104,302,902,55072,2327,969
422,2025-01-07,101,306,901,9980,111,50
423,2025-01-07,101,306,905,11474,178,114
424,2025-01-07,103,305,905,72218,2291,1409
425,2025-01-07,103,305,904,64929,1664,678
426,2025-01-07,103,306,901,10305,355,204
427,2025-01-08,101,302,903,13001,612,193
428,2025-01-08,101,302,904,13503,623,384
429,2025-01-08,101,302,905,12361,185,107
430,2025-01-08,106,304,901,33326,511,330
431,2025-01-08,106,304,901,26960,1039,585
432,2025-01-08,106,304,904,31775,1381,892
433,2025-01-08,102,302,904,74594,2227,945
434,2025-01-08,102,302,903,72141,2537,1021
435,2025-01-08,104,303,903,27516,489,302
436,2025-01-08,104,303,903,26073,1133,531
437,2025-01-08,104,303,905,27114,929,286
438,2025-01-08,103,306,904,54617,2705,1560
439,2025-01-08,101,303,903,26913,1199,695
440,2025-01-08,101,303,901,24605,1210,754
441,2025-01-08,103,305,902,78846,1534,624
442,2025-01-08,103,305,903,73941,3089,1326
443,2025-01-08,104,306,904,37742,813,354
444,2025-01-08,101,303,905,50058,573,400
445,2025-01-08,104,304,905,41712,1279,407
446,2025-01-08,104,304,901,44206,1326,525
447,2025-01-08,104,303,902,58923,841,487
448,2025-01-08,104,303,905,56654,2561,1466
449,2025-01-08,101,303,902,64328,2012,1108
450,2025-01-08,101,303,903,68380,2362,1415
451,2025-01-08,101,303,904,59147,1850,665
452,2025-01-08,103,301,904,84494,2015,904
453,2025-01-08,103,301,904,77022,1975,1357
454,2025-01-08,103,301,905,74221,2516,1622
455,2025-01-08,106,301,904,21609,357,244
456,2025-01-08,106,301,905,20785,997,549
457,2025-01-08,101,301,904,40865,1741,1064
458,2025-01-08,101,301,902,37398,1042,391
459,2025-01-08,102,302,901,36358,1511,985
460,2025-01-08,102,302,905,34265,1170,562
461,2025-01-08,102,302,903,34683,1156,411
462,2025-01-08,105,302,903,63494,1798,1112
463,2025-01-08,106,301,904,26685,365,187
464,2025-01-08,106,301,905,25805,529,283
465,2025-01-08,106,303,901,80025,1515,781
466,2025-01-08,102,301,901,23422,469,246
467,2025-01-08,105,303,904,10408,401,226
468,2025-01-08,105,303,904,10631,112,38
469,2025-01-08,103,303,901,42661,1158,802
470,2025-01-08,105,305,904,83301,2972,1482
471,2025-01-08,105,305,902,83869,3623,1897
472,2025-01-09,103,301,902,26268,918,347
473,2025-01-09,103,301,902,30105,1068,472
474,2025-01-09,103,301,905,29562,1289,783
475,2025-01-09,105,302,904,63917,2965,1789
476,2025-01-09,103,302,902,33030,1109,637
477,2025-01-09,103,302,903,35912,1712,909
478,2025-01-09,103,302,903,30089,1434,753
479,2025-01-09,105,306,902,72771,816,518
480,2025-01-09,105,306,901,70299,1703,681
481,2025-01-09,105,306,904,69995,2399,1656
482,2025-01-09,105,306,901,38760,694,236
483,2025-01-09,106,302,904,29759,515,286
484,2025-01-09,101,302,901,66793,1740,1110
485,2025-01-09,101,302,904,62551,2031,616
486,2025-01-09,101,302,901,70451,903,324
487,2025-01-09,101,301,904,16567,710,490
488,2025-01-09,101,301,901,17073,800,312
489,2025-01-09,101,304,901,19644,625,329
490,2025-01-09,101,304,905,21511,422,149
491,2025-01-09,105,304,905,15783,686,375
492,2025-01-09,102,306,904,67810,2285,747
493,2025-01-09,102,306,901,67980,1668,1035
494,2025-01-09,102,306,901,56855,1233,770
495,2025-01-09,104,304,904,21263,496,214
496,2025-01-09,104,304,901,24310,353,139
497,2025-01-09,102,305,904,54915,788,486
498,2025-01-09,102,305,905,49304,614,254
499,2025-01-09,102,305,903,56040,1608,1003
500,2025-01-09,104,303,902,53609,1987,691
501,2025-01-09,104,303,904,53623,1666,891
502,2025-01-09,104,303,904,64194,1217,701
503,2025-01-09,102,303,902,58912,821,471
504,2025-01-09,106,302,905,23686,291,100
505,2025-01-09,104,301,903,67036,3200,1830
506,2025-01-09,104,301,903,65180,2785,1485
507,2025-01-09,103,303,904,72327,887,487
508,2025-01-09,104,301,901,66780,1457,654
509,2025-01-09,104,301,905,74958,3106,1381
510,2025-01-09,104,301,903,60855,960,581
511,2025-01-09,106,303,905,68673,2362,1472
512,2025-01-09,106,303,905,78026,3677,1709
513,2025-01-09,102,306,902,17021,183,122
514,2025-01-09,102,306,903,29655,985,417
515,2025-01-09,102,302,904,57034,767,329
516,2025-01-09,105,301,902,62294,920,565
517,2025-01-09,105,301,902,67793,3332,1919
518,2025-01-09,106,304,903,23746,411,207
519,2025-01-09,105,306,901,32667,480,229
520,2025-01-09,105,306,904,33091,452,237
521,2025-01-09,104,302,905,91917,1091,327
522,2025-01-09,104,305,904,81411,3478,1232
523,2025-01-09,105,303,903,66709,2925,1017
524,2025-01-09,101,305,905,67443,2572,1564
525,2025-01-09,101,305,905,70061,3077,2107
526,2025-01-09,105,302,905,14862,349,177
527,2025-01-09,105,302,904,12859,153,64
528,2025-01-09,104,304,904,9635,369,247
529,2025-01-09,102,305,901,21712,468,271
530,2025-01-09,104,301,901,38151,1878,625
531,2025-01-09,104,301,905,45117,1416,542
532,2025-01-09,104,301,901,47115,1628,873
533,2025-01-09,102,304,905,39572,724,353
534,2025-01-09,102,304,902,42942,1994,1121
535,2025-01-09,104,305,905,48730,1048,491
536,2025-01-09,104,305,902,43350,1990,1347
537,2025-01-09,104,305,901,49459,1317,507
538,2025-01-10,106,301,903,12802,432,253
539,2025-01-10,106,301,904,10468,380,256
540,2025-01-10,101,305,902,34718,459,303
541,2025-01-10,101,305,902,37374,1051,400
542,2025-01-10,101,305,901,31374,1017,628
543,2025-01-10,101,305,905,26288,906,361
544,2025-01-10,101,305,901,25026,658,347
545,2025-01-10,102,306,901,18631,613,257
546,2025-01-10,102,306,904,21461,403,202
547,2025-01-10,102,306,904,20811,379,194
548,2025-01-10,102,304,901,46593,1834,563
549,2025-01-10,102,304,903,50888,2140,1026
550,2025-01-10,102,304,901,48701,1617,798
551,2025-01-10,106,304,904,42868,1026,495
552,2025-01-10,106,304,905,44682,1489,697
553,2025-01-10,106,304,903,47323,506,251
554,2025-01-10,101,301,902,52891,1502,710
555,2025-01-10,101,301,904,52809,2086,731
556,2025-01-10,101,301,902,56677,1808,1238
557,2025-01-10,103,304,905,72060,1416,568
558,2025-01-10,103,303,903,84070,3220,2149
559,2025-01-10,103,303,901,85224,3715,1811
560,2025-01-10,103,303,902,85389,2865,1698
561,2025-01-10,101,306,902,70034,2147,740
562,2025-01-10,101,306,903,71153,888,307
563,2025-01-10,101,306,904,79541,1325,445
564,2025-01-10,101,306,902,80353,1336,931
565,2025-01-10,105,306,901,70791,944,525
566,2025-01-10,105,306,904,76639,2582,924
567,2025-01-10,106,304,903,58716,2864,1372
568,2025-01-10,106,304,902,58078,2671,982
569,2025-01-10,106,304,901,59060,2773,1529
570,2025-01-10,105,303,905,9908,267,105
571,2025-01-10,106,306,904,38139,398,170
572,2025-01-10,106,306,902,36972,836,450
573,2025-01-10,105,301,903,28390,520,355
574,2025-01-10,105,301,903,26336,928,506
575,2025-01-10,105,301,902,27982,332,177
576,2025-01-10,101,303,904,13828,327,142
577,2025-01-10,103,304,903,57194,2053,1283
578,2025-01-10,103,304,904,62707,1194,746
579,2025-01-10,103,304,902,63371,2124,1087
580,2025-01-10,102,306,901,49787,1197,580
581,2025-01-10,104,303,902,43934,1411,617
582,2025-01-10,103,304,903,37270,542,361
583,2025-01-10,105,302,905,14056,326,139
584,2025-01-10,105,305,904,72964,1651,920
585,2025-01-10,103,302,904,20658,673,406
586,2025-01-10,106,305,902,62933,2196,1197
587,2025-01-11,106,302,901,58261,2289,881
588,2025-01-11,106,302,904,54148,834,482
589,2025-01-11,106,302,901,58691,801,523
590,2025-01-11,105,303,901,67066,2885,1366
591,2025-01-11,105,303,901,64448,1092,730
592,2025-01-11,105,303,904,74510,3160,1832
593,2025-01-11,102,306,902,44152,1423,633
594,2025-01-11,106,301,902,32893,950,441
595,2025-01-11,106,301,903,32652,1528,821
596,2025-01-11,106,305,902,37508,1590,1084
597,2025-01-11,101,305,904,76617,2288,691
598,2025-01-11,102,301,902,47450,1795,878
599,2025-01-11,102,301,904,55350,2389,1188
600,2025-01-11,102,301,903,47883,1506,784
601,2025-01-11,104,303,901,12966,466,233
602,2025-01-11,104,303,905,13766,159,109
603,2025-01-11,104,303,901,13297,599,288
604,2025-01-11,103,301,904,63919,774,378
605,2025-01-11,103,301,904,57894,1061,325
606,2025-01-11,103,304,901,56897,2558,1548
607,2025-01-11,103,304,903,54768,2530,896
608,2025-01-11,103,304,903,51868,2184,871
